Title,Company,Location,Salary,Source,Category,Salary_Numeric,City
Junior ASP.NET Developer,PwC,"Karachi Division, Sindh, Pakistan",N/A,LinkedIn,Software Engineer,,"Karachi Division, Sindh, Pakistan"
Software Engineer (C#),PLS,Pakistan,N/A,LinkedIn,Software Engineer,,Pakistan
Unity Engineer,Devsinc,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Software Engineer,,"Lahore, Punjab, Pakistan"
SDET - Software Test Engineer,Securiti AI,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Software Engineer,,"Islamabad, Islāmābād, Pakistan"
Full Stack Developer,Creative Chaos,Pakistan,N/A,LinkedIn,Software Engineer,,Pakistan
"Senior Software Engineer – .NET (Onsite, Karachi, PKR Salary)",HR POD Careers,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Software Engineer,,"Karāchi, Sindh, Pakistan"
Software Data Engineer,Devsinc,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Software Engineer,,"Lahore, Punjab, Pakistan"
Analyst Software Engineer,Pakistan Single Window (PSW),"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Software Engineer,,"Karāchi, Sindh, Pakistan"
Software Engineer - .NET,Creative Chaos,Pakistan,N/A,LinkedIn,Software Engineer,,Pakistan
Software Developer,Contour Software,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Software Engineer,,"Karāchi, Sindh, Pakistan"
Web Developer,Contour Software,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Software Engineer,,"Lahore, Punjab, Pakistan"
"Software Engineer, Tech",ibex,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Software Engineer,,"Karāchi, Sindh, Pakistan"
Software Engineer - MERN Stack (with Blockchain Experience),Devsinc,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Software Engineer,,"Islamabad, Islāmābād, Pakistan"
MERN Stack Developer,Flatgigs,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Software Engineer,,"Karāchi, Sindh, Pakistan"
Front-End Software Engineer,Datamatics Technologies,"Islamabad, Islāmābād, Pakistan",N/A,LinkedIn,Software Engineer,,"Islamabad, Islāmābād, Pakistan"
Software Engineer - IOS,Devsinc,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Software Engineer,,"Lahore, Punjab, Pakistan"
Senior Software Engineer- Python,Devsinc,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Software Engineer,,"Lahore, Punjab, Pakistan"
Associate Software Engineer (C++),LMKR,"Islāmābād, Pakistan",N/A,LinkedIn,Software Engineer,,"Islāmābād, Pakistan"
Software Engineer - Backend .Net,Softech Worldwide,"Karachi Division, Sindh, Pakistan",N/A,LinkedIn,Software Engineer,,"Karachi Division, Sindh, Pakistan"
Software Test Engineer,PakWheels.com,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Software Engineer,,"Lahore, Punjab, Pakistan"
"Lead Software Engineer (Onsite, Karachi, PKR Salary)",HR POD Careers,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Software Engineer,,"Karāchi, Sindh, Pakistan"
PHP Software Engineer - Remote - Pakistan,FullStack,Pakistan,N/A,LinkedIn,Software Engineer,,Pakistan
Software Developer,Contour Software,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Software Engineer,,"Lahore, Punjab, Pakistan"
Software Engineer II - Backend | NextGen Engineering,Careem,"Lahore, Punjab, Pakistan",N/A,LinkedIn,Software Engineer,,"Lahore, Punjab, Pakistan"
Senior Software Engineer - DevOps,Pakistan Single Window (PSW),"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Software Engineer,,"Karāchi, Sindh, Pakistan"
MERN Stack Developer,Sapphire Technologies PVT LTD,"Johar Town, Punjab, Pakistan",N/A,LinkedIn,Software Engineer,,"Johar Town, Punjab, Pakistan"
Shopify Developer,Digital Minds Pakistan,"Karachi Division, Sindh, Pakistan",N/A,LinkedIn,Software Engineer,,"Karachi Division, Sindh, Pakistan"
Frontend Developer Intern (Remote),"Naseeb Enterprise Inc, Lahore, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Frontend Developer,,"Naseeb Enterprise Inc,"
Frontend Developer,"M J IT Solutions, Karachi, Pakistan","M J IT Solutions,",N/A,Rozee,Frontend Developer,,"M J IT Solutions,"
Frontend Developer,"Utility Access, Lahore, Pakistan","Utility Access,",N/A,Rozee,Frontend Developer,,"Utility Access,"
Frontend Developer,"Haulvana, Lahore, Pakistan","Haulvana,",N/A,Rozee,Frontend Developer,,"Haulvana,"
Senior Frontend Developer,"Prob N Tech, Faisalabad, Pakistan","Prob N Tech,",N/A,Rozee,Frontend Developer,,"Prob N Tech,"
Lead Software Engineer - Frontend Developer,"Naseeb Enterprise Inc, Hyderabad, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Frontend Developer,,"Naseeb Enterprise Inc,"
Deputy Manager - Frontend Developer,"EFU Life Assurance Ltd., Lahore, Pakistan","EFU Life Assurance Ltd.,",N/A,Rozee,Frontend Developer,,"EFU Life Assurance Ltd.,"
React Frontend Developer,"Vector Solutions, All Cities, Pakistan","Vector Solutions,",N/A,Rozee,Frontend Developer,,"Vector Solutions,"
Full Stack Developer,"Oxygen Soft, Lahore, Pakistan","Oxygen Soft,",N/A,Rozee,Frontend Developer,,"Oxygen Soft,"
Full-Stack Developer,"Sedeo, All Cities, Pakistan","Sedeo,",N/A,Rozee,Frontend Developer,,"Sedeo,"
Shopify Frontend Developer,"Naseeb Enterprise Inc, Lahore, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Frontend Developer,,"Naseeb Enterprise Inc,"
Senior Full Stack Developer,"Sostudy, All Cities, Pakistan","Sostudy,",N/A,Rozee,Frontend Developer,,"Sostudy,"
Frontend Engineer (Remote),"Naseeb Enterprise Inc, All Cities, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Frontend Developer,,"Naseeb Enterprise Inc,"
Senior Software Programmer (Mobile Frontend),"Naseeb Enterprise Inc, All Cities, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Frontend Developer,,"Naseeb Enterprise Inc,"
Full Stack Developer,"Synergy Coders, Lahore, Pakistan","Synergy Coders,",N/A,Rozee,Frontend Developer,,"Synergy Coders,"
Frontend Engineer,"Genie Technologies, Lahore, Pakistan","Genie Technologies,",N/A,Rozee,Frontend Developer,,"Genie Technologies,"
Full Stack Software Engineer,"Lost Circle, Karachi, Pakistan","Lost Circle,",N/A,Rozee,Frontend Developer,,"Lost Circle,"
Lead II - Software Engineering,"Naseeb Enterprise Inc, Hyderabad, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Frontend Developer,,"Naseeb Enterprise Inc,"
Full Stack Engineer,"Zanda Financial Services Pvt. Ltd, Multiple Cities","Zanda Financial Services Pvt. Ltd,",N/A,Rozee,Frontend Developer,,"Zanda Financial Services Pvt. Ltd,"
Senior Software Engineering Manager,"Naseeb Enterprise Inc, Karachi, Pakistan","Naseeb Enterprise Inc,",N/A,Rozee,Frontend Developer,,"Naseeb Enterprise Inc,"
Frontend Developer,WallStreetBets,Pakistan,N/A,Indeed,Frontend Developer,,Pakistan
Frontend Developer,UTILITY ACCESS SMC PVT LTD,Lahore Johar Town,N/A,Indeed,Frontend Developer,,Lahore Johar Town
Frontend Developer,Stakater,Islamabad,N/A,Indeed,Frontend Developer,,Islamabad
Frontend Developer,TERESOL PVT. LTD,Karachi Gpo,N/A,Indeed,Frontend Developer,,Karachi Gpo
Web Developer Intern (Frontend),Mehdi Technologies,Islamabad,N/A,Indeed,Frontend Developer,,Islamabad
UI/UX Web Designer (Remote),Purge Sol,Pakistan,N/A,Indeed,Frontend Developer,,Pakistan
Senior JavaScript Developer (Frontend / Full Stack),Appsocode,Lahore,N/A,Indeed,Frontend Developer,,Lahore
,,,N/A,Indeed,Frontend Developer,,
Frontend Developer,Halo Informatics LTD,Lahore Gulberg Colony,N/A,Indeed,Frontend Developer,,Lahore Gulberg Colony
Frontend Developer Intern,Inventive Research Group,Lahore,N/A,Indeed,Frontend Developer,,Lahore
Frontend Developer,WPBrigade,Sialkot,N/A,Indeed,Frontend Developer,,Sialkot
Senior Frontend Developer (Next.js Experience Required),"Wolfiz Solutions Pvt, Ltd",Islamabad Gpo,N/A,Indeed,Frontend Developer,,Islamabad Gpo
Frontend Developer (React/Next.js),LIMI AI,Lahore,N/A,Indeed,Frontend Developer,,Lahore
Junior Frontend Developer (Office-based only),HexaMile Soft,Faisalabad Peoples Colony No.2,N/A,Indeed,Frontend Developer,,Faisalabad Peoples Colony No.2
Senior Frontend Developer,HT,Lahore,N/A,Indeed,Frontend Developer,,Lahore
Senior Angular Frontend Developer,Intuon Group LLC,Islamabad,N/A,Indeed,Frontend Developer,,Islamabad
Front-end Developer in Karachi | Webnet Pakistan,Webnet Pakistan Pvt Ltd,"Karāchi, Sindh, Pakistan",N/A,LinkedIn,Frontend Developer,,"Karāchi, Sindh, Pakistan"
